rank,release,gross,theaters,total_gross,release_date,distributor,release_month,release_quarter
1,Barbie,"$636,225,983",4337,"$636,238,421",2023-07-21,Warner Bros.,7,3
2,The Super Mario Bros. Movie,"$574,934,330",4371,"$574,934,330",2023-04-05,Universal Pictures,4,2
3,Spider-Man: Across the Spider-Verse,"$381,311,319",4332,"$381,311,319",2023-06-02,Columbia Pictures,6,2
4,Guardians of the Galaxy Vol. 3,"$358,995,815",4450,"$358,995,815",2023-05-05,Walt Disney Studios Motion Pictures,5,2
5,Oppenheimer,"$326,101,370",3761,"$328,529,295",2023-07-21,Universal Pictures,7,3
6,The Little Mermaid,"$298,172,056",4320,"$298,172,056",2023-05-26,Walt Disney Studios Motion Pictures,5,2
7,Avatar: The Way of Water,"$283,067,859",4340,"$684,075,767",2023-12-16,20th Century Studios,12,4
8,Ant-Man and the Wasp: Quantumania,"$214,504,909",4345,"$214,504,909",2023-02-17,Walt Disney Studios Motion Pictures,2,1
9,John Wick: Chapter 4,"$187,131,806",3855,"$187,131,806",2023-03-24,Lions Gate Films,3,1
10,Sound of Freedom,"$184,177,725",3411,"$184,178,046",2023-07-04,Angel Studios,7,3
11,Taylor Swift: The Eras Tour,"$179,817,571",3855,"$180,756,269",2023-10-13,-,10,4
12,Indiana Jones and the Dial of Destiny,"$174,480,468",4600,"$174,480,468",2023-06-30,Walt Disney Studios Motion Pictures,6,2
13,Mission: Impossible - Dead Reckoning Part One,"$172,135,383",4327,"$172,135,383",2023-07-12,Paramount Pictures,7,3
14,The Hunger Games: The Ballad of Songbirds & Snakes,"$159,719,625",3776,"$166,350,594",2023-11-17,Lions Gate Films,11,4
15,Transformers: Rise of the Beasts,"$157,066,392",3680,"$157,066,392",2023-06-09,Paramount Pictures,6,2
16,Creed III,"$156,248,615",4007,"$156,248,615",2023-03-03,United Artists Releasing,3,1
17,Elemental,"$154,426,697",4035,"$154,426,697",2023-06-16,Walt Disney Studios Motion Pictures,6,2
18,Fast X,"$146,126,015",4088,"$146,126,015",2023-05-19,Universal Pictures,5,2
19,Five Nights at Freddy's,"$137,275,620",3789,"$137,275,620",2023-10-27,Universal Pictures International (UPI),10,4
20,Wonka,"$133,129,902",4213,"$201,121,372",2023-12-15,Warner Bros.,12,4
