search_term,title,artist
Adele,Hello,Adele
Adele,Easy On Me,Adele
Adele,Someone Like You,Adele
Adele,Rolling in the Deep,Adele
Adele,When We Were Young,Adele
Adele,Set Fire to the Rain,Adele
Adele,All I Ask,Adele
Adele,Let It Go,Idina Menzel
Adele,Dollhouse,Melanie Martinez
Adele,Send My Love (To Your New Lover),Adele
Drake,God’s Plan,Drake
Drake,In My Feelings,Drake
Drake,Hotline Bling,Drake
Drake,One Dance,Drake
Drake,"Hold On, We’re Going Home",Drake
Drake,Know Yourself,Drake
Drake,Back to Back,Drake
Drake,All Me,Drake
Drake,From Time,Drake
Drake,Fake Love,Drake
BTS,Dynamite,BTS
BTS,Butter,BTS
BTS,BTS – 봄날 (Spring Day) (English Translation),Genius English Translations
BTS,BTS - Magic Shop (English Translation),Genius English Translations
BTS,BTS - FAKE LOVE (English Translation),Genius English Translations
BTS,BTS - 전하지 못한 진심 (The Truth Untold) ft. Steve Aoki (English Translation),Genius English Translations
BTS,BTS - 작은 것들을 위한 시 (Boy With Luv) ft. Halsey (Romanized),Genius Romanizations
BTS,BTS - Pied Piper (English Translation),Genius English Translations
BTS,FAKE LOVE,BTS
BTS,BTS - Life Goes On (English Translation),Genius English Translations
Mac Demarco,Chamber of Reflection,Mac DeMarco
Mac Demarco,For the First Time,Mac DeMarco
Mac Demarco,My Kind of Woman,Mac DeMarco
Mac Demarco,Salad Days,Mac DeMarco
Mac Demarco,Still Beating,Mac DeMarco
Mac Demarco,This Old Dog,Mac DeMarco
Mac Demarco,Heart to Heart,Mac DeMarco
Mac Demarco,One More Love Song,Mac DeMarco
Mac Demarco,Ode to Viceroy,Mac DeMarco
Mac Demarco,Moonlight on the River,Mac DeMarco
Red Hot Chili Peppers,Californication,Red Hot Chili Peppers
Red Hot Chili Peppers,Under the Bridge,Red Hot Chili Peppers
Red Hot Chili Peppers,Can’t Stop,Red Hot Chili Peppers
Red Hot Chili Peppers,Scar Tissue,Red Hot Chili Peppers
Red Hot Chili Peppers,Otherside,Red Hot Chili Peppers
Red Hot Chili Peppers,Snow (Hey Oh),Red Hot Chili Peppers
Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers
Red Hot Chili Peppers,Dark Necessities,Red Hot Chili Peppers
Red Hot Chili Peppers,By the Way,Red Hot Chili Peppers
Red Hot Chili Peppers,Give It Away,Red Hot Chili Peppers
Smashmouth,All Star,Smash Mouth
Smashmouth,Walkin’ on the Sun,Smash Mouth
Smashmouth,I’m a Believer,Smash Mouth
Smashmouth,Sorry About Your Penis,Smash Mouth
Smashmouth,Why Can’t We Be Friends,Smash Mouth
Smashmouth,Then the Morning Comes,Smash Mouth
Smashmouth,Can’t Get Enough of You Baby,Smash Mouth
Smashmouth,Flo,Smash Mouth
Smashmouth,"Come On, Come On",Smash Mouth
A,WAP,Cardi B
A,The Hills,The Weeknd
A,Bad and Boujee,Migos
A,God’s Plan,Drake
A,"​thank u, next",Ariana Grande
A,Starboy,The Weeknd
A,Bodak Yellow,Cardi B
A,Fuckin’ Problems,A$AP Rocky
A,Too Good at Goodbyes,Sam Smith
A,7 rings,Ariana Grande
